pitch_pk,pitcher,player_name,pitch_type,pitch_name,game_year,description,game_date,inning,inning_topbot,outs_when_up,balls,strikes,release_speed,release_spin_rate,release_pos_x,release_pos_z,release_extension,pfx_x,pfx_z,ivb,hb,ivb_abs,hb_abs,spin,expected_movement,movement_total,movement_over_expected,movement_gap,movement_sep,movement_angle,is_good_outcome,nastiness_raw,Nastiness_plus
621366_777729_78_5,621366,"Borucki, Ryan",SL,Slider,2025,called_strike,2025-05-28 00:00:00,9,Bot,2,2,2,84.7,2163,1.84,5.53,6.7,-0.12,-0.02,-0.24,-1.44,0.24,1.44,2163,1.0815000000000001,1.4598630072715726,0.37836300727157246,0.37836300727157246,1.44,-170.53767779197437,1,5.610948346146186,134.31021413857025
669302_776977_25_4,669302,"Gilbert, Logan",SL,Slider,2025,swinging_strike,2025-07-27 00:00:00,4,Bot,2,2,1,88.1,1862,-0.94,5.72,7.5,-0.07,-0.05,-0.6000000000000001,-0.8400000000000001,0.6000000000000001,0.8400000000000001,1862,0.931,1.0322790320451154,0.10127903204511535,0.10127903204511535,0.288,-144.46232220802563,1,5.610253844205576,134.30289703504135
667297_776567_50_2,667297,"Nance, Tommy",SL,Slider,2025,called_strike,2025-08-27 00:00:00,6,Top,0,1,0,88.0,2459,-1.57,5.92,6.2,-0.04,-0.05,-0.6000000000000001,-0.48,0.6000000000000001,0.48,2459,1.2295,0.7683749084919419,-0.46112509150805814,0.46112509150805814,0.14400000000000013,-128.6598082540901,1,5.609607347264816,134.29608570051505
702070_777799_23_2,702070,"Cameron, Noah",SL,Slider,2025,swinging_strike,2025-05-23 00:00:00,3,Bot,0,0,1,79.9,2517,1.49,6.62,6.3,-0.04,-0.05,-0.6000000000000001,-0.48,0.6000000000000001,0.48,2517,1.2585,0.7683749084919419,-0.49012509150805805,0.49012509150805805,0.14400000000000013,-128.6598082540901,1,5.609604744964016,134.29605828330676
669302_777403_25_7,669302,"Gilbert, Logan",SL,Slider,2025,foul_tip,2025-06-22 00:00:00,3,Bot,1,3,2,86.2,1745,-0.99,5.67,7.4,-0.1,-0.03,-0.36,-1.2000000000000002,0.36,1.2000000000000002,1745,0.8725,1.2528367810692662,0.38033678106926616,0.38033678106926616,1.0080000000000002,-163.3007557660064,1,5.606622243673987,134.26463537512157
605400_778296_19_5,605400,"Nola, Aaron",SI,Sinker,2025,swinging_strike,2025-04-16 00:00:00,2,Top,0,1,2,89.0,2209,-1.88,4.98,6.8,-2.16,0.84,10.08,-25.92,10.08,25.92,2209,1.1045,27.811019398792272,26.70651939879227,26.70651939879227,19.008000000000003,158.74949449286677,1,5.606085849351239,134.2589840549994
571510_777219_12_3,571510,"Boyd, Matthew",SL,Slider,2025,swinging_strike,2025-07-06 00:00:00,2,Top,0,1,1,81.5,2478,2.97,4.99,6.2,-0.11,-0.04,-0.48,-1.32,0.48,1.32,2478,1.239,1.404563989286355,0.16556398928635496,0.16556398928635496,1.008,-160.01689347810003,1,5.6021013741300445,134.21700459317643
622663_778547_45_6,622663,"Severino, Luis",ST,Sweeper,2025,called_strike,2025-03-27 00:00:00,6,Bot,2,2,2,84.6,2526,-2.27,5.78,6.2,2.09,-0.1,-1.2000000000000002,25.08,1.2000000000000002,25.08,2526,1.2630000000000001,25.108691722190542,23.84569172219054,23.84569172219054,28.656,-2.7393357219185726,1,5.60001286453745,134.195000564078
592094_778019_59_2,592094,"Adam, Jason",SL,Slider,2025,called_strike,2025-05-07 00:00:00,8,Bot,0,1,0,84.1,2491,-1.15,6.39,6.3,-0.02,-0.04,-0.48,-0.24,0.48,0.24,2491,1.2455,0.5366563145999496,-0.7088436854000505,0.7088436854000505,0.288,-116.56505117707799,1,5.599327795064698,134.18778283873624
592094_777139_61_2,592094,"Adam, Jason",SL,Slider,2025,swinging_strike,2025-07-11 00:00:00,8,Top,1,0,1,86.5,2702,-1.13,6.44,6.3,-0.02,-0.04,-0.48,-0.24,0.48,0.24,2702,1.351,0.5366563145999496,-0.8143436854000504,0.8143436854000504,0.288,-116.56505117707799,1,5.599318325717515,134.18768307199747
642100_777875_45_4,642100,"Speier, Gabe",SL,Slider,2025,swinging_strike,2025-05-17 00:00:00,6,Bot,0,1,2,82.7,2078,1.86,5.11,5.9,-0.13,-0.01,-0.12,-1.56,0.12,1.56,2078,1.039,1.5646085772486358,0.5256085772486359,0.5256085772486359,1.728,-175.6012946450045,1,5.59844311909399,134.17846210788053
656986_778124_36_4,656986,"Sousa, Bennett",SL,Slider,2025,swinging_strike,2025-04-29 00:00:00,5,Top,1,2,1,84.9,2266,1.08,6.46,6.6,-0.06,-0.06,-0.72,-0.72,0.72,0.72,2266,1.133,1.0182337649086284,-0.11476623509137163,0.11476623509137163,0.0,-135.0,1,5.596767589130577,134.16080913170987
